,id,name,type,year,num_sections,num_paragraphs
284,284,T-694-14,T,2014,3,177
285,285,T-329-10,T,2010,3,320
286,286,T-120-98,T,1998,0,58
287,287,T-616-03,T,2003,5,59
288,288,T-956-02,T,2002,5,78
289,289,T-524-09,T,2009,3,102
290,290,C-226-02,C,2002,6,292
291,291,C-191-16,C,2016,3,628
292,292,C-510-99,C,1999,3,155
293,293,T-275-09,T,2009,3,263
294,294,T-931-99,T,1999,5,42
295,295,SU879-00,SU,2000,3,508
296,296,C-148-05,C,2005,6,497
297,297,C-742-15,C,2015,5,305
298,298,T-423-14,T,2014,3,658
299,299,T-618-06,T,2006,4,96
300,300,T-097-08,T,2008,6,142
301,301,T-012-16,T,2016,2,371
302,302,T-227-01,T,2001,2,41
303,303,T-190-15,T,2015,3,277
304,304,C-1051-04,C,2004,7,151
305,305,C-957-01,C,2001,3,116
306,306,T-576-01,T,2001,5,43
307,307,C-273-03,C,2003,7,255
308,308,T-1388-00,T,2000,2,48
309,309,T-175-99,T,1999,2,104
310,310,T-903-03,T,2003,6,138
311,311,T-247-93,T,1993,3,96
312,312,T-571-08,T,2008,3,315
313,313,T-516-93,T,1993,4,95
314,314,T-858-13,T,2013,3,253
315,315,T-220-08,T,2008,4,206
316,316,T-112-02,T,2002,3,134
317,317,T-1164-04,T,2004,4,85
318,318,C-328-13,C,2013,3,161
319,319,C-519-95,C,1995,6,165
320,320,T-327-15,T,2015,5,309
321,321,T-140-22,T,2022,5,250
322,322,T-881-00,T,2000,2,143
323,323,T-476-15,T,2015,3,242
324,324,T-327-01,T,2001,4,209
325,325,T-476-01,T,2001,3,107
326,326,C-479-07,C,2007,7,398
327,327,T-643-16,T,2016,3,227
328,328,SU353-13,SU,2013,3,293
329,329,T-197-08,T,2008,1,126
330,330,T-112-16,T,2016,3,266
331,331,T-593-99,T,1999,0,33
332,332,T-375-21,T,2021,3,305
333,333,T-190-01,T,2001,2,49
334,334,C-419-95,C,1995,6,127
335,335,T-981-00,T,2000,3,69
336,336,T-576-15,T,2015,3,213
337,337,T-075-99,T,1999,3,73
338,338,T-743-02,T,2002,4,100
339,339,T-347-93,T,1993,3,94
340,340,T-471-08,T,2008,1,162
341,341,T-149-12,T,2012,4,254
342,342,T-1288-00,T,2000,4,51
343,343,C-445-98,C,1998,6,150
344,344,C-579-13,C,2013,4,2836
345,345,T-1064-04,T,2004,3,98
346,346,T-320-08,T,2008,4,195
347,347,C-169-20,C,2020,5,562
348,348,C-504-07,C,2007,7,113
349,349,T-530-97,T,1997,2,74
350,350,T-283-12,T,2012,3,199
351,351,T-134-06,T,2006,2,211
352,352,T-045-12,T,2012,4,106
353,353,T-1206-03,T,2003,2,32
354,354,T-270-05,T,2005,3,296
355,355,T-696-11,T,2011,3,183
356,356,T-521-05,T,2005,1,55
357,357,T-381-03,T,2003,3,57
358,358,T-036-17,T,2017,3,197
359,359,T-261A-22,T,2022,2,130
360,360,C-483-08,C,2008,7,249
361,361,C-159-97,C,1997,7,67
362,362,T-500-20,T,2020,3,340
363,363,T-358-10,T,2010,3,129
364,364,T-552-00,T,2000,2,69
365,365,C-828-10,C,2010,6,325
366,366,C-584-15,C,2015,7,440
367,367,T-203-00,T,2000,3,165
368,368,T-409-10,T,2010,0,41
369,369,C-506-02,C,2002,7,513
370,370,T-1140-05,T,2005,4,136
371,371,T-136-03,T,2003,4,116
372,372,T-940-99,T,1999,2,110
373,373,T-204-09,T,2009,5,315
374,374,T-532-92,T,1992,2,117
375,375,T-555-09,T,2009,3,295
376,376,T-667-03,T,2003,3,75
377,377,T-927-02,T,2002,5,110
378,378,T-151-98,T,1998,1,55
379,379,C-561-99,C,1999,3,161
380,380,C-668-05,C,2005,6,184
381,381,C-205-22,C,2022,6,161
382,382,T-258-04,T,2004,4,58
383,383,T-452-14,T,2014,3,263
384,384,T-303-14,T,2014,3,179
385,385,T-258-10,T,2010,3,84
386,386,T-452-00,T,2000,3,91
387,387,T-509-10,T,2010,3,327
388,388,C-1175-05,C,2005,7,210
389,389,SU846-00,SU,2000,2,179
390,390,SU540-07,SU,2007,2,833
391,391,SU150-21,SU,2021,3,2291
392,392,SU858-01,SU,2001,2,388
393,393,T-050-00,T,2000,3,67
394,394,T-725-05,T,2005,3,73
395,395,C-006-03,C,2003,0,151
396,396,T-638-97,T,1997,5,70
397,397,SU477-97,SU,1997,3,110
398,398,T-481-92,T,1992,3,42
399,399,C-429-01,C,2001,6,244
400,400,C-223-11,C,2011,6,357
401,401,C-194-05,C,2005,7,201
402,402,T-019-00,T,2000,2,37
403,403,T-142-10,T,2010,3,133
404,404,T-748-00,T,2000,4,57
405,405,T-1301-01,T,2001,1,58
406,406,T-377-07,T,2007,4,92
407,407,SU600-99,SU,1999,2,142
408,408,T-791-13,T,2013,5,203
409,409,T-426-07,T,2007,4,105
410,410,C-412-97,C,1997,6,81
411,411,C-093-18,C,2018,7,881
412,412,T-119-14,T,2014,3,265
413,413,T-713-04,T,2004,3,89
414,414,T-1034-02,T,2002,3,91
415,415,T-502-06,T,2006,5,123
416,416,T-308-16,T,2016,4,174
417,417,T-789-99,T,1999,3,64
418,418,T-1574-00,T,2000,3,76
419,419,T-1225-00,T,2000,4,88
420,420,C-663-07,C,2007,6,408
421,421,T-459-16,T,2016,4,383
422,422,T-253-06,T,2006,3,117
423,423,T-066-11,T,2011,3,137
424,424,T-737-11,T,2011,2,151
425,425,T-877-10,T,2010,4,129
426,426,C-978-02,C,2002,7,175
427,427,T-402-12,T,2012,5,228
428,428,T-208-02,T,2002,0,25
429,429,T-061-18,T,2018,3,168
430,430,T-353-12,T,2012,3,183
431,431,T-1092-00,T,2000,0,49
432,432,T-1110-03,T,2003,4,111
433,433,C-152-95,C,1995,0,174
434,434,T-166-05,T,2005,3,80
435,435,T-580-11,T,2011,2,172
436,436,T-637-05,T,2005,4,118
437,437,T-977-04,T,2004,4,115
438,438,C-1441-00,C,2000,4,144
439,439,SU090-00,SU,2000,4,440
440,440,T-166-11,T,2011,4,163
441,441,T-637-11,T,2011,3,159
442,442,T-580-05,T,2005,4,141
443,443,T-1474-00,T,2000,7,80
444,444,T-402-06,T,2006,6,200
445,445,T-689-99,T,1999,3,50
446,446,T-006-97,T,1997,0,27
447,447,T-487-18,T,2018,2,183
448,448,T-559-16,T,2016,3,151
449,449,T-1325-00,T,2000,3,65
450,450,C-823-06,C,2006,4,362
451,451,T-066-05,T,2005,3,178
452,452,T-1010-03,T,2003,5,191
453,453,C-052-95,C,1995,5,54
454,454,C-307-04,C,2004,5,432
455,455,C-1541-00,C,2000,7,103
456,456,T-480-11,T,2011,2,209
457,457,T-737-05,T,2005,7,199
458,458,T-877-04,T,2004,3,73
459,459,T-308-02,T,2002,3,187
460,460,C-200-19,C,2019,7,863
461,461,C-551-19,C,2019,6,211
462,462,C-069-03,C,2003,7,70
463,463,C-663-13,C,2013,4,529
464,464,T-253-12,T,2012,4,98
465,465,T-879-01,T,2001,4,92
466,466,T-133-10,T,2010,4,233
467,467,T-284-04,T,2004,4,61
468,468,C-252-11,C,2011,5,141
469,469,T-662-10,T,2010,3,204
470,470,T-922-11,T,2011,3,143
471,471,T-068-00,T,2000,2,100
472,472,T-457-07,T,2007,2,111
473,473,C-736-06,C,2006,6,167
474,474,T-306-07,T,2007,4,102
475,475,T-589-09,T,2009,4,179
476,476,T-1045-02,T,2002,4,144
477,477,T-437-95,T,1995,5,67
478,478,T-639-14,T,2014,4,219
479,479,T-033-04,T,2004,0,113
480,480,T-762-04,T,2004,4,231
481,481,T-557-13,T,2013,5,267
482,482,T-008-92,T,1992,3,109
483,483,T-206-13,T,2013,3,485
484,484,C-185-97,C,1997,5,109
485,485,C-636-12,C,2012,7,147
486,486,C-563-97,C,1997,7,115
487,487,T-557-07,T,2007,4,97
488,488,T-206-07,T,2007,0,78
489,489,C-232-97,C,1997,3,209
490,490,T-1270-01,T,2001,5,73
491,491,C-1070-02,C,2002,8,205
492,492,T-979-01,T,2001,2,203
493,493,T-033-10,T,2010,4,283
494,494,T-762-10,T,2010,4,389
495,495,T-168-00,T,2000,5,107
496,496,C-558-01,C,2001,6,254
497,497,T-457-13,T,2013,3,297
498,498,T-739-14,T,2014,5,278
499,499,T-284-10,T,2010,4,100
500,500,T-133-04,T,2004,3,67
501,501,C-503-05,C,2005,7,159
502,502,C-458-15,C,2015,6,872
503,503,T-922-05,T,2005,3,62
504,504,T-068-14,T,2014,3,113
505,505,C-989-04,C,2004,7,207
506,506,T-744-00,T,2000,4,42
507,507,T-1063-06,T,2006,4,128
508,508,C-1263-05,C,2005,3,138
509,509,C-695-08,C,2008,7,331
510,510,C-1056-12,C,2012,7,626
511,511,T-593-92,T,1992,3,123
512,512,T-197-03,T,2003,3,133
513,513,T-986-02,T,2002,3,101
514,514,C-326-21,C,2021,4,183
515,515,T-115-14,T,2014,3,261
516,516,T-012-09,T,2009,3,166
517,517,T-320-03,T,2003,4,85
518,518,T-618-19,T,2019,3,159
519,519,T-416-98,T,1998,5,92
520,520,C-314-93,C,1993,5,137
521,521,C-710-02,C,2002,6,165
522,522,C-191-21,C,2021,0,400
523,523,C-1088-08,C,2008,7,152
524,524,C-041-02,C,2002,7,119
525,525,T-149-19,T,2019,2,133
526,526,T-471-03,T,2003,3,121
527,527,T-347-98,T,1998,3,62
528,528,T-743-09,T,2009,3,188
529,529,T-493-92,T,1992,4,109
530,530,T-147-20,T,2020,3,481
531,531,T-320-17,T,2017,2,301
532,532,C-226-21,C,2021,3,282
533,533,T-471-17,T,2017,2,521
534,534,T-590-00,T,2000,3,60
535,535,T-627-14,T,2014,2,286
536,536,C-217-15,C,2015,5,442
537,537,T-378-95,T,1995,3,103
538,538,T-176-14,T,2014,4,100
539,539,T-475-98,T,1998,4,94
540,540,T-343-03,T,2003,4,48
541,541,T-549-13,T,2013,4,104
542,542,C-377-93,C,1993,6,73
543,543,C-426-93,C,1993,4,313
544,544,T-218-13,T,2013,3,214
545,545,SU257-97,SU,1997,2,274
546,546,T-324-98,T,1998,4,70
547,547,T-412-03,T,2003,6,62
548,548,T-490-14,T,2014,4,142
549,549,T-076-00,T,2000,2,46
550,550,T-1000-06,T,2006,3,95
551,551,T-1182-05,T,2005,4,142
552,552,C-079-06,C,2006,7,115
553,553,T-243-17,T,2017,3,252
554,554,T-982-99,T,1999,2,74
555,555,T-449-07,T,2007,3,152
556,556,T-597-09,T,2009,4,134
557,557,T-512-17,T,2017,3,421
558,558,SU159-02,SU,2002,5,426
559,559,C-295-02,C,2002,7,386
560,560,C-673-02,C,2002,5,225
